date,close
2021-03-27,221.27
2021-03-28,232.66
2021-03-29,233.8
2021-03-30,244.39
2021-03-31,245.8
2021-04-01,250.65
2021-04-02,257.7
2021-04-03,257.23
2021-04-04,263.6
2021-04-05,265.37
2021-04-06,270.68
2021-04-07,257.44
2021-04-08,269.69
2021-04-09,273.37
2021-04-10,291.72
2021-04-11,328.9
2021-04-12,314.32
2021-04-13,327.43
2021-04-14,320.65
2021-04-15,344.4
2021-04-16,340.66
2021-04-17,363.77
2021-04-18,338.48
2021-04-19,358.07
2021-04-20,404.34
2021-04-21,375.44
2021-04-22,346.68
2021-04-23,354.37
2021-04-24,381.18
2021-04-25,355.44
2021-04-26,405.46
2021-04-27,401.6
2021-04-28,413.54
2021-04-29,407.32
2021-04-30,421.78
2021-05-01,425.76
2021-05-02,404.46
2021-05-03,411.31
2021-05-04,379.54
2021-05-05,417.16
2021-05-06,422.45
2021-05-07,454.81
2021-05-08,475.59
2021-05-09,484.0
2021-05-10,441.03
2021-05-11,453.41
2021-05-12,396.06
2021-05-13,402.34
2021-05-14,412.91
2021-05-15,382.38
2021-05-16,390.65
2021-05-17,339.87
2021-05-18,341.02
2021-05-19,197.34
2021-05-20,280.79
2021-05-21,256.2
2021-05-22,231.12
2021-05-23,225.5
2021-05-24,256.22
2021-05-25,246.62
2021-05-26,268.53
2021-05-27,252.84
2021-05-28,262.1
2021-05-29,243.16
2021-05-30,261.9
2021-05-31,272.21
2021-06-01,266.37
2021-06-02,294.63
2021-06-03,309.57
2021-06-04,287.36
2021-06-05,264.01
2021-06-06,272.5
2021-06-07,249.02
2021-06-08,253.61
2021-06-09,274.87
2021-06-10,255.6
2021-06-11,242.89
2021-06-12,243.04
2021-06-13,260.75
2021-06-14,275.57
2021-06-15,278.15
2021-06-16,262.94
2021-06-17,277.12
2021-06-18,265.77
2021-06-19,267.9
2021-06-20,264.53
2021-06-21,203.05
2021-06-22,201.81
2021-06-23,218.51
2021-06-24,225.74
2021-06-25,194.95
2021-06-26,202.84
2021-06-27,211.92
2021-06-28,213.17
2021-06-29,217.89
2021-06-30,223.06
2021-07-01,205.44
2021-07-02,211.35
2021-07-03,214.86
2021-07-04,219.92
2021-07-05,214.47
2021-07-06,221.75
2021-07-07,215.17
2021-07-08,205.23
2021-07-09,212.87
2021-07-10,209.7
