,train_volatility_class,test_volatility_class,period_volatility_class,train_volatility,test_volatility,period_volatility
LTC,"['normal', 'normal', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'low']","['normal', 'normal', 'normal', 'normal', 'normal']","[0.3359659397075505, 0.3382707472379008, 0.3035842823111609, 0.264427612078681, 0.2530794918143702]","[0.26170993168927675, 0.2554319616764951, 0.2761409428702709, 0.22766557089634457, 0.19861340080576112]","[0.3162491410046256, 0.3175610508475493, 0.2967234474509384, 0.2552371017830969, 0.23946296906221795]"
TRX,"['normal', 'normal', 'normal', 'normal', 'low']","['normal', 'low', 'normal', 'low', 'low']","['normal', 'normal', 'normal', 'low', 'low']","[0.3545325311706499, 0.34459978577392675, 0.2981919997167535, 0.23014053658718964, 0.18720792240373357]","[0.24793254273803447, 0.18265176564935554, 0.25983730137417876, 0.11913470018766627, 0.14458332593926976]","[0.32622760918854216, 0.30411278074278403, 0.2886033251311098, 0.20238907748730878, 0.1765517732876176]"
ATOM,"['high', 'high', 'high', 'high', 'normal']","['high', 'high', 'normal', 'normal', 'low']","['high', 'high', 'high', 'normal', 'normal']","[0.4245811759967757, 0.42303556265557385, 0.41683648831006687, 0.36760145542617795, 0.34054313529093017]","[0.3945945826416729, 0.37380352321089266, 0.33440626042596816, 0.31341962223592956, 0.20162757790520425]","[0.4166189970331082, 0.4107275527944036, 0.3962289313390422, 0.3540559971286158, 0.30581424594449863]"
XMR,"['normal', 'normal', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'low', 'low']","['normal', 'normal', 'normal', 'normal', 'normal']","[0.3249717567108157, 0.31472468993531894, 0.30623972063248395, 0.26763497529741304, 0.2596831605838316]","[0.2235822179985337, 0.2797913033731201, 0.2995314045205853, 0.1997267738577895, 0.13692216825307502]","[0.29805033743817555, 0.30599134329476924, 0.3045626416045093, 0.2506579249375071, 0.22899291250114248]"
VET,"['high', 'high', 'high', 'normal', 'normal']","['normal', 'normal', 'normal', 'low', 'normal']","['high', 'high', 'high', 'normal', 'normal']","[0.4476315213895978, 0.4356504086374427, 0.3792436673366303, 0.3123646452437495, 0.2739530673465046]","[0.3208868961536895, 0.29317615051393203, 0.32303088906362715, 0.20565216246195456, 0.21469968737318293]","[0.41397770226914243, 0.400031844106565, 0.3651904727683795, 0.2856865245483008, 0.2591397223531742]"
ALGO,"['high', 'high', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'normal']","['high', 'high', 'normal', 'normal', 'normal']","[0.4011572230909493, 0.39211972459657923, 0.3500548068838684, 0.31607364962282314, 0.28161496075106573]","[0.35904777916644287, 0.28173245135169145, 0.3074407183503352, 0.25567171255117077, 0.23373113051034522]","[0.3899761287726649, 0.3645229062853573, 0.3394012847504851, 0.30097316535491, 0.2696440031908856]"
EOS,"['high', 'high', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'low']","['normal', 'normal', 'normal', 'normal', 'normal']","[0.3844381063589387, 0.3950088881596734, 0.3593278806172432, 0.27135429989225657, 0.27675796106889133]","[0.2821517449267436, 0.24416898999114459, 0.28774216475888126, 0.298362728456648, 0.18586668495106004]","[0.3572785585696621, 0.3572989136175412, 0.34143145165265276, 0.2781064070333544, 0.2540351420394335]"
CHZ,"['high', 'high', 'high', 'normal', 'normal']","['high', 'normal', 'normal', 'high', 'normal']","['high', 'high', 'high', 'normal', 'normal']","[0.4649070400430399, 0.48169665611430273, 0.4318992967672616, 0.3395904659612134, 0.34647462279176455]","[0.3752640502029725, 0.31693832736606553, 0.3265690203146021, 0.3959165206946261, 0.25248519072303716]","[0.4411046187578828, 0.44050707392724353, 0.40556672765409674, 0.35367197964456654, 0.3229772647745827]"
IOTA,"['high', 'high', 'high', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'low']","['high', 'high', 'normal', 'normal', 'normal']","[0.3838625562883698, 0.41217684111006364, 0.37565028219627705, 0.3168788134042415, 0.26867707154865433]","[0.3632687571046046, 0.28792590412771735, 0.2994417789804025, 0.21866353153784332, 0.1873271550144394]","[0.37839439547726295, 0.381114106864477, 0.3565981563923084, 0.29232499293764197, 0.24833959241510065]"
NEO,"['high', 'high', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'normal']","[0.3832498674311686, 0.38102565702712676, 0.35570157371749445, 0.2980394814754301, 0.2748073689306785]","[0.30442008498244666, 0.28411818055587934, 0.3055801788879641, 0.23472374734819196, 0.2556709140933001]","[0.36231861898654005, 0.3567987879093149, 0.3431712250101118, 0.28221054794362055, 0.2700232552213339]"
XTZ,"['high', 'high', 'high', 'normal', 'normal']","['high', 'normal', 'normal', 'normal', 'normal']","['high', 'high', 'high', 'normal', 'normal']","[0.36418878322278536, 0.39336767012069995, 0.3921284966148181, 0.3458450553829089, 0.2938726503863895]","[0.37606966763917415, 0.34560747924507335, 0.31585801926447893, 0.22015245264961628, 0.22495361760646454]","[0.3673434506052955, 0.38142762240179323, 0.37306087727723325, 0.3144219046995857, 0.27664289219140825]"
