date,close
2020-11-22,123.65
2020-11-23,129.88
2020-11-24,135.15
2020-11-25,128.8
2020-11-26,119.98
2020-11-27,117.32
2020-11-28,122.03
2020-11-29,123.94
2020-11-30,130.65
2020-12-01,125.79
2020-12-02,127.92
2020-12-03,133.54
2020-12-04,126.57
2020-12-05,133.49
2020-12-06,134.33
2020-12-07,138.61
2020-12-08,135.87
2020-12-09,132.46
2020-12-10,133.6
2020-12-11,141.43
2020-12-12,146.82
2020-12-13,152.12
2020-12-14,152.52
2020-12-15,150.5
2020-12-16,158.93
2020-12-17,160.42
2020-12-18,154.44
2020-12-19,154.6
2020-12-20,152.42
2020-12-21,145.66
2020-12-22,156.56
2020-12-23,150.92
2020-12-24,156.86
2020-12-25,159.14
2020-12-26,168.21
2020-12-27,156.99
2020-12-28,166.64
2020-12-29,161.54
2020-12-30,159.55
2020-12-31,156.22
2021-01-01,135.81
2021-01-02,143.52
2021-01-03,138.26
2021-01-04,133.79
2021-01-05,136.0
2021-01-06,142.31
2021-01-07,142.9
2021-01-08,142.11
2021-01-09,147.4
2021-01-10,184.89
2021-01-11,157.96
2021-01-12,159.09
2021-01-13,171.55
2021-01-14,163.81
2021-01-15,156.98
2021-01-16,155.56
2021-01-17,159.65
2021-01-18,156.98
2021-01-19,157.27
2021-01-20,152.77
2021-01-21,130.53
2021-01-22,135.79
2021-01-23,139.03
2021-01-24,138.03
2021-01-25,137.16
2021-01-26,137.85
2021-01-27,125.45
2021-01-28,135.43
2021-01-29,140.31
2021-01-30,139.43
2021-01-31,137.73
2021-02-01,143.36
2021-02-02,151.19
2021-02-03,154.6
2021-02-04,148.04
2021-02-05,155.4
2021-02-06,152.06
2021-02-07,150.31
2021-02-08,163.21
2021-02-09,169.14
2021-02-10,175.6
2021-02-11,190.49
2021-02-12,200.64
2021-02-13,240.99
2021-02-14,230.14
2021-02-15,228.21
2021-02-16,221.48
2021-02-17,272.25
2021-02-18,260.94
2021-02-19,282.51
2021-02-20,255.11
2021-02-21,247.28
2021-02-22,224.22
2021-02-23,220.85
2021-02-24,204.27
2021-02-25,198.98
2021-02-26,204.2
2021-02-27,209.26
2021-02-28,219.18
2021-03-01,230.4
2021-03-02,220.04
2021-03-03,218.7
2021-03-04,217.52
2021-03-05,205.84
2021-03-06,204.35
2021-03-07,208.99
2021-03-08,221.08
2021-03-09,225.16
2021-03-10,220.19
2021-03-11,221.11
2021-03-12,222.85
2021-03-13,239.46
2021-03-14,232.25
2021-03-15,221.88
2021-03-16,229.92
2021-03-17,236.2
2021-03-18,228.04
2021-03-19,231.43
2021-03-20,231.95
2021-03-21,231.66
2021-03-22,217.08
2021-03-23,218.02
2021-03-24,210.67
2021-03-25,214.33
2021-03-26,221.7
2021-03-27,221.27
2021-03-28,232.66
2021-03-29,233.8
2021-03-30,244.39
2021-03-31,245.8
2021-04-01,250.65
2021-04-02,257.7
2021-04-03,257.23
2021-04-04,263.6
2021-04-05,265.37
2021-04-06,270.68
2021-04-07,257.44
2021-04-08,269.69
2021-04-09,273.37
2021-04-10,291.72
2021-04-11,328.9
2021-04-12,314.32
2021-04-13,327.43
2021-04-14,320.65
2021-04-15,344.4
2021-04-16,340.66
2021-04-17,363.77
2021-04-18,338.48
2021-04-19,358.07
2021-04-20,404.34
2021-04-21,375.44
2021-04-22,346.68
2021-04-23,354.37
2021-04-24,381.18
2021-04-25,355.44
